Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,ResultSpeed,ResultDir,AvgSpeed
2,5/22/2007,87,60,74,M,44,58,0,9, ,M,M,M,0,29.41,10.1,16,10.6
1,5/23/2007,89,60,75,14,49,61,0,10, ,0,M,0,0,29.39,11.4,19,11.8
2,5/23/2007,89,66,78,M,48,61,0,13, ,M,M,M,0,29.47,10.9,18,11.2
1,5/24/2007,88,63,76,14,54,63,0,11,RA HZ,0,M,0,0.02,29.41,14.9,21,17.3
2,5/24/2007,88,66,77,M,53,63,0,12,RA HZ,M,M,M,0,29.47,13.8,20,15.2
1,5/25/2007,70,56,63,1,44,53,2,0, ,0,M,0,0,29.51,4.9,5,8.8
2,5/25/2007,66,57,62,M,46,53,3,0,RA BR,M,M,M,0.09,29.57,4.5,5,8.2
1,5/26/2007,65,49,57,-5,55,56,8,0,TSRA RA BR HZ,0,M,0,1.01,29.36,2.8,17,7.2
2,5/26/2007,70,50,60,M,55,57,5,0,TSRA RA BR,M,M,M,0.28,29.42,2.5,15,7.8
1,5/27/2007,75,57,66,4,47,56,0,1,RA BR,0,M,0,0.04,29.34,8.9,26,9.5
2,5/27/2007,75,59,67,M,49,57,0,2,RA BR,M,M,M,0.08,29.41,8.2,24,9.2
1,5/28/2007,79,50,65,2,47,56,0,0,RA,0,M,0,0,29.43,4.8,10,5.3
2,5/28/2007,76,54,65,M,49,57,0,0, ,M,M,M,0,29.49,4.7,8,5.2
1,5/29/2007,88,60,74,10,58,65,0,9,BR HZ,0,M,0,0,29.39,5.8,18,6.5
2,5/29/2007,88,65,77,M,59,66,0,12,BR HZ,M,M,M,0,29.44,5.8,16,7.4
1,5/30/2007,87,66,77,13,58,65,0,12,HZ,0,M,0,0,29.31,10.3,19,10.6
2,5/30/2007,89,70,80,M,57,66,0,15,HZ,M,M,M,0,29.38,9.7,17,10.1
1,5/31/2007,78,65,72,8,61,65,0,7,RA HZ,0,M,0,0.01,29.28,9.3,19,9.9
2,5/31/2007,80,68,74,M,61,66,0,9,RA BR,M,M,M,0.53,29.34,8.9,18,9.2
1,6/1/2007,85,62,74,10,63,66,0,9,TSRA BR HZ,0,M,0,0.19,29.19,4.2,17,6.4
2,6/1/2007,86,67,77,M,63,67,0,12,TSRA BR HZ,M,M,M,0.21,29.25,4.7,16,5.8
1,6/2/2007,81,65,73,9,63,67,0,8,RA BR,0,M,0,0.04,29.03,6.5,22,7.4
2,6/2/2007,81,68,75,M,62,67,0,10,RA BR,M,M,M,0,29.1,7.5,21,8.2
1,6/3/2007,78,62,70,6,60,63,0,5,TSRA RA BR HZ,0,M,0,0.01,28.82,5.2,25,6.7
2,6/3/2007,77,64,71,M,60,64,0,6,RA BR HZ VCTS,M,M,M,0.32,28.87,4.9,24,7.2
1,6/4/2007,71,58,65,1,58,60,0,0,TSRA RA BR,0,M,0,0.39,28.82,7.8,31,9.7
2,6/4/2007,72,56,64,M,57,60,1,0,RA BR,M,M,M,0.31,28.88,7.9,30,10.1
1,6/5/2007,64,47,56,-9,48,51,9,0,RA BR,0,M,0,0.42,29.1,5.2,5,7.6
2,6/5/2007,63,51,57,M,47,52,8,0,RA BR,M,M,M,0.27,29.16,6.2,3,8.1
1,6/6/2007,71,44,58,-8,48,55,7,0,RA,0,M,0,0.01,29.07,10.8,17,11.4
2,6/6/2007,73,48,61,M,47,55,4,0,RA,M,M,M,0,29.13,9.6,15,10.6
1,6/7/2007,91,71,81,15,62,69,0,16, ,0,M,0,0,28.84,22.7,20,23.1
2,6/7/2007,92,71,82,M,61,68,0,17, ,M,M,M,0,28.91,20.3,19,20.7
1,6/8/2007,81,57,69,3,53,61,0,4, ,0,M,0,0,29.18,10.9,28,13.8
2,6/8/2007,81,63,72,M,54,62,0,7, ,M,M,M,0,29.24,9.3,26,12.4
1,6/9/2007,79,52,66,0,47,57,0,1, ,0,M,0,0,29.36,0.3,33,5
2,6/9/2007,79,57,68,M,49,58,0,3, ,M,M,M,0,29.42,2.4,19,4.7
1,6/10/2007,81,55,68,1,51,59,0,3, ,0,M,0,0,29.34,4.8,17,5.6
2,6/10/2007,81,61,71,M,50,60,0,6, ,M,M,M,0,29.39,4.6,16,5.8
1,6/11/2007,86,58,72,5,52,61,0,7, ,0,M,0,0,29.41,4.9,11,6.9
2,6/11/2007,85,65,75,M,51,61,0,10, ,M,M,M,0,29.47,6.6,9,8.4
1,6/12/2007,83,62,73,5,50,60,0,8, ,0,M,0,0,29.44,8.3,5,8.8
2,6/12/2007,82,66,74,M,51,61,0,9, ,M,M,M,0,29.49,9.4,5,10
1,6/13/2007,87,60,74,6,53,62,0,9, ,0,M,0,0,29.36,7.2,5,8.6
2,6/13/2007,86,68,77,M,53,62,0,12, ,M,M,M,0,M,7,5,
1,6/14/2007,89,64,77,9,55,64,0,12, ,0,M,0,0,29.3,5.6,5,6.8
2,6/14/2007,89,68,79,M,54,63,0,14, ,M,M,M,0,29.36,5.9,7,6.4
1,6/15/2007,91,63,77,9,56,64,0,12, ,0,M,0,0,29.28,4.1,6,4.9
2,6/15/2007,89,67,78,M,56,65,0,13, ,M,M,M,0,29.34,3.8,9,4.1
1,6/16/2007,93,66,80,11,60,67,0,15,RA HZ,0,M,0,0,29.26,4.8,28,5.8
2,6/16/2007,92,68,80,M,61,68,0,15,HZ,M,M,M,0,29.33,2.1,22,6.1
1,6/17/2007,91,70,81,12,64,70,0,16,HZ,0,M,0,0,29.23,2.8,11,6.3
2,6/17/2007,91,71,81,M,65,70,0,16,HZ,M,M,M,0.16,29.28,4,11,6.1
1,6/18/2007,89,69,79,9,65,70,0,14,TSRA RA HZ,0,M,0,0.28,29.12,14,20,15.1
2,6/18/2007,89,73,81,M,65,70,0,16,TSRA RA HZ,M,M,M,0.02,29.19,12.2,20,12.6
1,6/19/2007,80,65,73,3,55,63,0,8,RA,0,M,0,0.58,29.26,10.7,28,11.4
2,6/19/2007,81,65,73,M,55,63,0,8,RA BR,M,M,M,0.93,29.31,10.1,29,11.3
1,6/20/2007,84,61,73,3,52,61,0,8, ,0,M,0,0,29.39,7.8,27,8.8
2,6/20/2007,85,62,74,M,50,61,0,9, ,M,M,M,0,29.46,5.9,28,7.7
1,6/21/2007,77,61,69,-1,51,60,0,4,RA,0,M,0,0.01,29.36,3.5,3,10.7
2,6/21/2007,80,66,73,M,51,61,0,8,RA,M,M,M,0,29.41,3.7,2,9.6
1,6/22/2007,76,61,69,-1,50,58,0,4,RA,0,M,0,0,29.33,7.8,6,8.7
2,6/22/2007,75,62,69,M,49,58,0,4,RA,M,M,M,0,29.39,6.5,7,8.1
1,6/23/2007,67,62,65,-5,58,61,0,0,RA BR,0,M,0,0.05,29.23,7.6,12,9
2,6/23/2007,68,61,65,M,60,62,0,0,RA BR,M,M,M,0.34,29.28,7.3,11,8.1
1,6/24/2007,77,63,70,-1,62,65,0,5,BR HZ,0,M,0,0,29.26,7,9,8
2,6/24/2007,75,65,70,M,62,65,0,5,BR HZ,M,M,M,0,29.33,5.6,10,6
1,6/25/2007,89,65,77,6,66,70,0,12,BR HZ,0,M,0,0,29.38,3.9,14,6.8
2,6/25/2007,86,67,77,M,67,70,0,12,BR HZ,M,M,M,0,29.44,4,12,5.9
1,6/26/2007,92,70,81,10,69,72,0,16,TSRA BR HZ VCTS,0,M,0,0.16,29.39,6.1,22,7.1
2,6/26/2007,91,73,82,M,69,72,0,17,BR HZ,M,M,M,0,29.45,7.3,21,8.1
1,6/27/2007,91,71,81,10,70,72,0,16,TSRA,0,M,0,0.15,29.29,7.5,24,8.8
2,6/27/2007,89,71,80,M,69,72,0,15,TSRA RA BR,M,M,M,0.35,29.36,7.9,24,8.5
1,6/28/2007,74,58,66,-5,55,60,0,1, ,0,M,0,0,29.41,11.9,3,12.5
2,6/28/2007,73,61,67,M,56,61,0,2, ,M,M,M,0,29.43,12.2,2,13.3
1,6/29/2007,70,56,63,-8,55,59,2,0, ,0,M,0,0,29.41,7.6,2,8.3
2,6/29/2007,71,56,64,M,56,60,1,0, ,M,M,M,0,29.47,7.4,2,8.2
1,6/30/2007,79,54,67,-5,46,56,0,2, ,0,M,0,0,29.41,4.9,3,5.8
2,6/30/2007,77,58,68,M,49,58,0,3, ,M,M,M,0,29.46,5.1,4,6.2
1,7/1/2007,75,54,65,-7,52,58,0,0, ,0,M,0,0,29.51,8.6,4,8.6
2,7/1/2007,76,61,69,M,51,59,0,4, ,M,M,M,0,29.56,9.5,4,9.7
1,7/2/2007,79,53,66,-6,50,58,0,1, ,0,M,0,0,29.49,5.9,14,8.1
2,7/2/2007,77,58,68,M,50,59,0,3, ,M,M,M,0,29.55,7.4,12,8.5
1,7/3/2007,83,60,72,0,57,63,0,7,TSRA RA BR,0,M,0,0.4,29.31,6.7,21,7.3
2,7/3/2007,83,63,73,M,56,63,0,8,TSRA RA,M,M,M,0.09,29.38,6.4,21,7.4
1,7/4/2007,86,67,77,5,65,69,0,12,TSRA BR HZ FU,0,M,0,0.16,29.18,4.6,27,8.2
2,7/4/2007,84,67,76,M,65,69,0,11,TSRA RA HZ FU,M,M,M,0.66,29.23,3.1,25,8.8
1,7/5/2007,89,71,80,8,60,67,0,15,BR HZ FU,0,M,0,0,29.24,6.4,31,8.1
2,7/5/2007,88,70,79,M,60,67,0,14,BR,M,M,M,0,29.29,4.3,33,6.9
1,7/6/2007,86,66,76,4,57,64,0,11, ,0,M,0,0,29.32,3.2,5,5.5
2,7/6/2007,84,68,76,M,57,65,0,11, ,M,M,M,0,29.38,3.3,7,5.5
1,7/7/2007,90,64,77,5,63,69,0,12, ,0,M,0,0,29.18,8.4,22,8.6
2,7/7/2007,88,68,78,M,62,68,0,13, ,M,M,M,0,29.24,7.4,23,8.1
1,7/8/2007,94,75,85,12,67,72,0,20, ,0,M,0,0,29.05,12.9,24,13.1
2,7/8/2007,93,75,84,M,67,72,0,19, ,M,M,M,0,29.12,12.6,23,12.7
1,7/9/2007,94,70,82,9,66,70,0,17,TSRA RA VCTS,0,M,0,0.3,29.11,4.9,24,8.8
2,7/9/2007,93,72,83,M,67,71,0,18,RA,M,M,M,0.24,29.16,4.8,23,8.8
1,7/10/2007,89,69,79,6,67,70,0,14,HZ VCTS,0,M,0,0.43,29.06,8.6,23,10.5
2,7/10/2007,89,70,80,M,67,71,0,15,TSRA HZ,M,M,M,0.08,29.13,8.2,23,10.2
1,7/11/2007,77,62,70,-3,51,59,0,5, ,0,M,0,0,29.23,8.8,30,10.9
2,7/11/2007,77,63,70,M,51,59,0,5, ,M,M,M,0,29.28,9.1,30,11.2
1,7/12/2007,80,61,71,-2,51,59,0,6, ,0,M,0,0,29.22,9.4,29,11.1
2,7/12/2007,80,60,70,M,51,60,0,5,VCTS,M,M,M,0,29.28,10,28,11.4
1,7/13/2007,78,58,68,-5,52,58,0,3, ,0,M,0,0,29.26,1.4,1,5.3
2,7/13/2007,74,59,67,M,53,59,0,2, ,M,M,M,0,29.33,2,7,5.8
1,7/14/2007,84,61,73,0,55,62,0,8, ,0,M,0,0,29.08,8.3,26,13.2
2,7/14/2007,85,62,74,M,55,62,0,9, ,M,M,M,0,29.14,8.4,25,13.9
1,7/15/2007,82,60,71,-3,53,61,0,6, ,0,M,0,0,29.19,2.1,29,4.9
2,7/15/2007,80,64,72,M,52,61,0,7, ,M,M,M,0,29.25,1.2,9,6.5
1,7/16/2007,82,65,74,0,60,65,0,9,RA BR,0,M,0,0.39,29.25,4.4,24,5.2
2,7/16/2007,82,66,74,M,60,65,0,9,TSRA RA,M,M,M,0.07,29.31,5.6,23,6.6
1,7/17/2007,83,68,76,2,66,69,0,11,RA BR VCTS,0,M,0,0.11,29.18,5.2,23,6.5
2,7/17/2007,83,69,76,M,65,69,0,11,RA BR,M,M,M,0.11,29.24,6.3,23,7.4
1,7/18/2007,85,69,77,3,68,71,0,12,TSRA RA BR VCTS,0,M,0,1.55,29.11,9.1,24,10.1
2,7/18/2007,85,69,77,M,69,71,0,12,TS TSRA RA BR HZ VCTS,M,M,M,0.92,29.18,10.3,24,10.6
1,7/19/2007,83,63,73,-1,63,66,0,8,DZ BR,0,M,0,0.16,29.21,7,1,11.9
2,7/19/2007,82,63,73,M,62,66,0,8,BR HZ,M,M,M,0.01,29.26,7.7,36,14.4
1,7/20/2007,75,58,67,-7,53,59,0,2, ,0,M,0,0,29.44,8.6,3,9.1
2,7/20/2007,74,62,68,M,52,59,0,3, ,M,M,M,0,29.49,11.3,4,11.5
1,7/21/2007,74,58,66,-8,52,58,0,1, ,0,M,0,0,29.51,6.5,3,7.4
2,7/21/2007,75,58,67,M,52,59,0,2, ,M,M,M,0,29.57,5.8,4,7.4
1,7/22/2007,81,58,70,-4,55,61,0,5, ,0,M,0,0,29.49,1.7,16,3.3
2,7/22/2007,81,61,71,M,54,61,0,6, ,M,M,M,0,29.54,1.9,18,3.5
1,7/23/2007,83,60,72,-2,55,63,0,7, ,0,M,0,0,29.37,3.2,9,4
2,7/23/2007,82,63,73,M,55,63,0,8, ,M,M,M,0,29.42,2.9,12,3.9
1,7/24/2007,82,65,74,0,58,64,0,9, ,0,M,0,0,29.32,3.1,20,5.2
2,7/24/2007,82,65,74,M,57,64,0,9, ,M,M,M,0,29.38,1.1,21,4.9
1,7/25/2007,85,71,78,4,61,67,0,13, ,0,M,0,0,29.29,5.8,25,6.6
2,7/25/2007,83,70,77,M,60,66,0,12, ,M,M,M,0,29.35,6.4,23,7
1,7/26/2007,83,66,75,1,65,68,0,10,TS TSRA RA BR HZ,0,M,0,0.19,29.19,7.2,22,9.4
2,7/26/2007,84,64,74,M,65,68,0,9,TS TSRA BR HZ,M,M,M,0.89,29.25,7.2,22,9.9
1,7/27/2007,83,70,77,3,68,70,0,12,RA BR HZ,0,M,0,0.17,29.11,3,3,7.9
2,7/27/2007,83,70,77,M,67,70,0,12,RA BR HZ,M,M,M,0.04,29.16,1.2,36,8.1
1,7/28/2007,80,66,73,-1,65,68,0,8,BR HZ,0,M,0,0,29.23,10,3,10.2
2,7/28/2007,80,70,75,M,65,68,0,10,BR HZ,M,M,M,0,29.28,10.6,3,10.7
1,7/29/2007,85,63,74,0,57,64,0,9, ,0,M,0,0,29.28,4.8,5,5.7
2,7/29/2007,85,67,76,M,56,64,0,11, ,M,M,M,0,29.34,6.3,5,6.9
1,7/30/2007,89,62,76,2,55,64,0,11, ,0,M,0,0,29.33,3.8,6,4.3
2,7/30/2007,86,65,76,M,57,65,0,11, ,M,M,M,0,29.39,3.1,6,4.6
1,7/31/2007,91,68,80,6,61,68,0,15, ,0,M,0,0,29.33,3.3,4,4.9
2,7/31/2007,89,69,79,M,60,68,0,14, ,M,M,M,0,29.39,4,7,5
1,8/1/2007,92,69,81,8,62,69,0,16,HZ,0,M,0,0,29.29,3.5,9,4.1
2,8/1/2007,91,69,80,M,63,70,0,15, ,M,M,M,0,29.34,2.1,13,3.7
1,8/2/2007,91,70,81,8,66,71,0,16,HZ,0,M,0,0,29.26,5.5,26,5.9
2,8/2/2007,91,73,82,M,66,72,0,17, ,M,M,M,0,29.31,6.5,23,7.2
1,8/3/2007,90,69,80,7,56,66,0,15, ,0,M,0,0,29.31,2.7,3,5.7
2,8/3/2007,88,73,81,M,58,67,0,16, ,M,M,M,0,29.36,3.3,6,5.8
1,8/4/2007,81,64,73,0,58,64,0,8,RA,0,M,0,0.03,29.31,5.7,8,6.1
2,8/4/2007,81,68,75,M,58,65,0,10,RA,M,M,M,0.02,29.36,5.9,9,6.6
1,8/5/2007,88,67,78,5,71,73,0,13,TSRA RA BR HZ,0,M,0,1.43,29.08,5.4,21,9.6
2,8/5/2007,88,68,78,M,71,72,0,13,TSRA RA BR VCTS,M,M,M,0.97,29.15,7,22,10.2
1,8/6/2007,88,74,81,8,72,74,0,16,TSRA RA BR HZ,0,M,0,0.26,29.13,1.6,10,4.9
2,8/6/2007,85,75,80,M,72,74,0,15,TS TSRA BR HZ,M,M,M,0.05,29.17,2.6,10,4.6
1,8/7/2007,91,72,82,9,73,76,0,17,RA BR,0,M,0,1.31,29.06,6.2,25,9
2,8/7/2007,92,73,83,M,73,76,0,18,VCTS,M,M,M,0.06,29.11,6.3,24,8.8
1,8/8/2007,87,73,80,7,71,73,0,15,TSRA RA BR,0,M,0,0.06,29.13,3,3,6.9
2,8/8/2007,87,74,81,M,72,74,0,16,TSRA RA DZ BR HZ,M,M,M,0.09,29.18,1.5,4,6.4
1,8/9/2007,84,72,78,5,71,73,0,13,TSRA RA,0,M,0,0.05,29.13,2.5,29,6
2,8/9/2007,85,73,79,M,71,73,0,14,TSRA BR HZ,M,M,M,0.46,29.19,3.1,27,6.3
1,8/10/2007,86,70,78,5,68,72,0,13,BR,0,M,0,0,29.26,4.5,2,5.9
2,8/10/2007,86,73,80,M,69,72,0,15, ,M,M,M,0,29.32,3,6,5.4
1,8/11/2007,89,67,78,5,65,70,0,13,BR HZ,0,M,0,0,29.31,3.2,19,3.9
2,8/11/2007,88,68,78,M,65,70,0,13,BR HZ,M,M,M,0,29.38,3.1,20,3.9
1,8/12/2007,88,67,78,5,67,71,0,13,TSRA,0,M,0,0.29,29.34,1.7,6,5.4
2,8/12/2007,87,68,78,M,67,70,0,13,TSRA,M,M,M,0.23,29.4,1.9,6,6.6
1,8/13/2007,81,65,73,0,57,64,0,8,BR,0,M,0,0,29.39,6.2,6,6.9
2,8/13/2007,80,69,75,M,54,63,0,10, ,M,M,M,0,29.44,6.9,8,7.7
1,8/14/2007,84,65,75,3,67,70,0,10,TS TSRA RA BR,0,M,0,0.41,29.23,5.9,25,8
2,8/14/2007,84,65,75,M,66,69,0,10,TSRA RA BR,M,M,M,0.45,29.29,6.4,23,9
1,8/15/2007,80,71,76,4,67,70,0,11,TSRA RA BR,0,M,0,0.23,29.17,3.4,7,5.8
2,8/15/2007,81,72,77,M,69,71,0,12,TS TSRA RA BR,M,M,M,0.83,29.23,4.9,6,7.1
1,8/16/2007,77,65,71,-1,64,67,0,6,BR,0,M,0,0,29.28,3.6,1,5.7
2,8/16/2007,77,67,72,M,65,68,0,7,BR,M,M,M,0,29.33,3.5,1,5.7
1,8/17/2007,79,60,70,-2,54,61,0,5, ,0,M,0,0,29.41,5.9,32,6.8
2,8/17/2007,80,65,73,M,54,62,0,8, ,M,M,M,0,29.46,6.1,31,7.4
1,8/18/2007,68,59,64,-8,54,58,1,0,RA,0,M,0,0.09,29.44,6.4,12,8.1
2,8/18/2007,69,60,65,M,54,58,0,0,RA,M,M,M,0.42,29.48,6.1,13,7
1,8/19/2007,68,62,65,-6,62,64,0,0,TS RA BR,0,M,0,1.33,29.24,6,10,7.4
2,8/19/2007,69,62,66,M,63,64,0,1,TS RA BR,M,M,M,1.33,29.3,5.5,10,7.5
1,8/20/2007,78,68,73,2,68,69,0,8,TSRA RA BR,0,M,0,0.91,29.15,0.5,12,5.7
2,8/20/2007,76,68,72,M,69,70,0,7,TS TSRA RA BR HZ,M,M,M,0.48,29.21,2.4,20,5.9
1,8/21/2007,87,69,78,7,70,72,0,13,BR HZ,0,M,0,0,29.21,3.8,18,6
2,8/21/2007,85,69,77,M,70,72,0,12,BR,M,M,M,0.01,29.26,3.5,17,6
1,8/22/2007,90,69,80,9,71,73,0,15,TS TSRA RA,0,M,0,0.37,29.23,5.3,21,9.5
2,8/22/2007,90,70,80,M,70,73,0,15,TSRA RA BR,M,M,M,0.88,29.29,5.1,21,8.4
1,8/23/2007,87,69,78,7,69,71,0,13,TS TSRA RA BR VCTS,0,M,0,2.35,29.15,9.6,21,11.7
2,8/23/2007,89,70,80,M,69,71,0,15,TS TSRA BR,M,M,M,1.96,29.21,6.7,21,9.1
1,8/24/2007,80,69,75,4,67,69,0,10,TSRA RA,0,M,0,0.24,29.11,5.8,25,7.1
2,8/24/2007,81,69,75,M,67,69,0,10,TS TSRA RA BR,M,M,M,0.2,29.16,5.5,25,7.3
1,8/25/2007,79,64,72,2,63,66,0,7,RA,0,M,0,0.34,29.23,3,36,5.6
2,8/25/2007,76,65,71,M,63,66,0,6,RA BR,M,M,M,0.25,29.29,2.4,3,6.4
1,8/26/2007,79,60,70,0,55,61,0,5, ,0,M,0,0,29.38,3.6,11,5.4
2,8/26/2007,78,61,70,M,55,62,0,5, ,M,M,M,0,29.44,3.7,11,4.6
1,8/27/2007,79,60,70,0,60,64,0,5, ,0,M,0,0,29.36,6.5,17,7.4
2,8/27/2007,79,63,71,M,59,64,0,6, ,M,M,M,0,29.41,6.4,16,7.3
1,8/28/2007,91,67,79,9,66,70,0,14, ,0,M,0,0,29.28,9,20,9.5
2,8/28/2007,90,69,80,M,65,70,0,15, ,M,M,M,0,29.34,7.8,21,8.3
1,8/29/2007,85,68,77,7,65,69,0,12, ,0,M,0,0,29.34,5.6,3,8.2
2,8/29/2007,86,69,78,M,64,69,0,13, ,M,M,M,0,29.39,5.3,3,8.8
1,8/30/2007,75,57,66,-4,54,60,0,1, ,0,M,0,0,29.47,9.1,2,9.9
2,8/30/2007,75,60,68,M,54,61,0,3, ,M,M,M,0,29.51,10.8,3,10.9
1,8/31/2007,77,57,67,-2,52,59,0,2, ,0,M,0,0,29.47,3.9,4,5.2
2,8/31/2007,76,57,67,M,54,60,0,2, ,M,M,M,0,29.52,3,6,4.6
1,9/1/2007,81,57,69,1,55,61,0,4, ,0,M,0,0,29.49,4.2,11,5
2,9/1/2007,79,60,70,M,56,62,0,5, ,M,M,M,0,29.54,4.4,11,4.4
1,9/2/2007,85,61,73,5,57,63,0,8, ,0,M,0,0,29.41,4.2,21,5
2,9/2/2007,84,62,73,M,56,63,0,8, ,M,M,M,0,29.47,4.8,21,6
1,9/3/2007,88,66,77,9,61,67,0,12, ,0,M,0,0,29.36,2,27,5.8
2,9/3/2007,88,64,76,M,61,67,0,11, ,M,M,M,0,29.42,3,25,6.2
1,9/4/2007,89,63,76,8,60,66,0,11, ,0,M,0,0,29.28,2.8,22,4.3
2,9/4/2007,90,67,79,M,59,67,0,14, ,M,M,M,0,29.34,2.2,24,5
1,9/5/2007,90,66,78,11,63,69,0,13,RA,0,M,0,0,29.24,6.4,19,6.5
2,9/5/2007,91,72,82,M,62,69,0,17, ,M,M,M,0,29.31,6.4,19,6.7
1,9/6/2007,82,73,78,11,67,70,0,13,RA HZ,0,M,0,0.18,29.21,11.9,20,12.1
2,9/6/2007,84,74,79,M,66,70,0,14,TSRA HZ,M,M,M,0.08,29.27,12.8,20,13
1,9/7/2007,84,70,77,10,68,70,0,12,TSRA RA BR HZ,0,M,0,0.19,29.15,10.4,23,13.9
2,9/7/2007,84,71,78,M,67,70,0,13,TSRA RA BR HZ,M,M,M,0.67,29.21,9.5,23,13
1,9/8/2007,78,64,71,5,57,63,0,6, ,0,M,0,0,29.3,6,5,7.2
2,9/8/2007,78,68,73,M,58,64,0,8, ,M,M,M,0,29.34,8.4,5,9.4
1,9/9/2007,80,63,72,6,59,63,0,7, ,0,M,0,0,29.36,9.2,3,9.9
2,9/9/2007,79,63,71,M,59,64,0,6, ,M,M,M,0,29.41,10.1,3,10.9
1,9/10/2007,74,54,64,-2,58,60,1,0,RA BR,0,M,0,0.36,29.3,7.2,2,9
2,9/10/2007,73,55,64,M,59,62,1,0,RA,M,M,M,0.25,29.34,7.4,3,9.7
